UTC Time,Latitude,Longitude,Altitude,Fix type,PDOP,HDOP,VDOP
00:00:37.000,33.9280365 S,18.426616666666668 E,0.0 m,2D,3.2,3.0,1.0
00:00:38.000,33.927968166666666 S,18.4269365 E,0.0 m,2D,3.2,3.0,1.0
00:00:39.000,33.927904 S,18.427246666666665 E,0.0 m,3D,4.3,2.4,3.6
00:00:40.000,33.9278385 S,18.42756333333333 E,0.0 m,2D,3.2,3.0,1.0
00:00:41.000,33.927772 S,18.42787866666667 E,0.0 m,2D,3.2,3.0,1.0
00:00:42.000,33.92770516666667 S,18.428198666666667 E,0.0 m,2D,3.2,3.0,1.0
00:00:43.000,33.9276395 S,18.428508833333332 E,0.0 m,3D,4.2,2.6,3.2
00:00:44.000,33.927572166666664 S,18.428826 E,0.0 m,2D,3.2,3.0,1.0
00:00:45.000,33.927506 S,18.429138000000002 E,0.0 m,2D,3.2,3.0,1.0
00:00:46.000,33.92744016666666 S,18.4294505 E,0.0 m,2D,3.2,3.0,1.0
00:00:47.000,33.92737283333334 S,18.429772166666666 E,0.0 m,2D,3.2,3.0,1.0
00:00:48.000,33.92730616666667 S,18.430089166666665 E,0.0 m,2D,3.2,3.0,1.0
00:00:49.000,33.9272395 S,18.4304015 E,0.0 m,2D,3.2,3.0,1.0
00:00:50.000,33.92717316666667 S,18.430716833333335 E,0.0 m,2D,3.2,3.0,1.0
00:00:51.000,33.927107 S,18.4310375 E,0.0 m,2D,3.2,3.0,1.0
00:00:52.000,33.92703733333333 S,18.431357 E,0.0 m,2D,3.2,3.0,1.0
00:00:53.000,33.9269705 S,18.431672666666667 E,0.0 m,2D,3.2,3.0,1.0
00:00:54.000,33.92690283333334 S,18.4319815 E,0.0 m,2D,3.2,3.0,1.0
00:00:55.000,33.92683516666666 S,18.43230683333333 E,0.0 m,2D,3.2,3.0,1.0
00:00:56.000,33.9267665 S,18.43262916666667 E,0.0 m,2D,3.2,3.0,1.0
00:00:57.000,33.926698 S,18.432956166666667 E,0.0 m,2D,3.2,3.0,1.0
00:00:58.000,33.926632 S,18.433267999999998 E,0.0 m,2D,3.2,3.0,1.0
00:00:59.000,33.926566 S,18.433583833333334 E,0.0 m,2D,3.2,3.0,1.0
00:01:00.000,33.926498 S,18.433900833333333 E,0.0 m,2D,3.2,3.1,1.0
00:01:01.000,33.92642933333333 S,18.434218333333334 E,0.0 m,2D,3.2,3.1,1.0
00:01:02.000,33.92636016666667 S,18.434542 E,6.8 m,2D,3.2,3.1,1.0
00:01:03.000,33.92629183333333 S,18.434861833333333 E,41.6 m,2D,3.2,3.1,1.0
00:01:04.000,33.92622333333333 S,18.435185 E,76.3 m,2D,3.2,3.1,1.0
00:01:05.000,33.926155666666666 S,18.435502833333334 E,111.1 m,2D,3.2,3.1,1.0
00:01:06.000,33.926088166666666 S,18.435821666666666 E,145.8 m,2D,3.2,3.1,1.0
00:01:07.000,33.92601883333333 S,18.436145333333332 E,180.5 m,2D,3.2,3.1,1.0
00:01:08.000,33.9259495 S,18.436469833333334 E,215.3 m,2D,3.2,3.1,1.0
00:01:09.000,33.925880666666664 S,18.436791333333332 E,250.0 m,2D,3.2,3.1,1.0
00:01:10.000,33.92581033333333 S,18.437115833333333 E,284.8 m,2D,3.2,3.1,1.0
00:01:11.000,33.925741333333335 S,18.437436666666667 E,319.5 m,2D,3.2,3.1,1.0
00:01:12.000,33.9256725 S,18.437757833333333 E,354.2 m,2D,3.2,3.1,1.0
00:01:13.000,33.925602833333336 S,18.43808 E,389.0 m,2D,3.2,3.1,1.0
00:01:14.000,33.925533333333334 S,18.4384025 E,423.7 m,2D,3.2,3.1,1.0
00:01:15.000,33.925463666666666 S,18.438724166666667 E,458.5 m,2D,3.2,3.1,1.0
00:01:16.000,33.92539633333333 S,18.439041166666666 E,493.2 m,2D,3.2,3.1,1.0
00:01:17.000,33.925326166666665 S,18.439366833333334 E,527.9 m,2D,3.2,3.1,1.0
00:01:18.000,33.92525716666667 S,18.439692833333332 E,562.7 m,2D,3.2,3.1,1.0
00:01:19.000,33.9251895 S,18.440013666666665 E,597.4 m,2D,3.2,3.1,1.0
00:01:20.000,33.92511966666667 S,18.440337833333334 E,632.2 m,2D,3.2,3.1,1.0
00:01:21.000,33.92505083333333 S,18.4406575 E,666.9 m,2D,3.2,3.1,1.0
00:01:22.000,33.92498 S,18.440982166666668 E,701.6 m,2D,3.2,3.1,1.0
00:01:23.000,33.92491 S,18.441307833333333 E,736.4 m,2D,3.2,3.1,1.0
00:01:24.000,33.924839 S,18.441630833333335 E,771.1 m,2D,3.2,3.1,1.0
00:01:25.000,33.92476766666667 S,18.441958833333334 E,805.9 m,2D,3.2,3.1,1.0
00:01:26.000,33.924696833333336 S,18.442282333333335 E,840.6 m,2D,3.2,3.1,1.0
00:01:27.000,33.924625666666664 S,18.442615166666666 E,875.4 m,2D,3.2,3.1,1.0
00:01:28.000,33.92455616666667 S,18.442937666666666 E,910.1 m,2D,3.2,3.1,1.0
00:01:29.000,33.9244855 S,18.443264833333334 E,944.8 m,2D,3.2,3.1,1.0
00:01:30.000,33.9244135 S,18.443593 E,979.6 m,2D,3.2,3.1,1.0
00:01:31.000,33.924343666666665 S,18.443917166666665 E,1014.3 m,2D,3.2,3.1,1.0
00:01:32.000,33.9242735 S,18.444246333333332 E,1049.1 m,2D,3.2,3.1,1.0
00:01:33.000,33.924201833333335 S,18.444575666666665 E,1083.8 m,2D,3.2,3.1,1.0
00:01:34.000,33.924131 S,18.444897333333333 E,1118.6 m,2D,3.2,3.1,1.0
00:01:35.000,33.92406 S,18.445222333333334 E,1153.3 m,2D,3.2,3.1,1.0
00:01:36.000,33.92398766666667 S,18.44554966666667 E,1188.0 m,2D,3.2,3.1,1.0
00:01:37.000,33.923915666666666 S,18.4458775 E,1222.8 m,2D,3.2,3.1,1.0
00:01:38.000,33.92384233333333 S,18.446215333333335 E,1257.5 m,2D,3.2,3.1,1.0
00:01:39.000,33.923772 S,18.446538833333335 E,1292.3 m,2D,3.2,3.1,1.0
00:01:40.000,33.923700333333336 S,18.446870333333333 E,1327.0 m,2D,3.2,3.1,1.0
00:01:41.000,33.923627833333335 S,18.447201833333335 E,1361.8 m,2D,3.2,3.1,1.0
00:01:42.000,33.9235565 S,18.447527333333333 E,1396.5 m,2D,3.2,3.1,1.0
00:01:43.000,33.923485666666664 S,18.447850833333334 E,1431.3 m,2D,3.3,3.1,1.0
00:01:44.000,33.92341416666667 S,18.448180166666667 E,1466.0 m,2D,3.3,3.1,1.0
00:01:45.000,33.923341 S,18.44851583333333 E,1500.7 m,2D,3.3,3.1,1.0
00:01:46.000,33.9232685 S,18.4488425 E,1535.5 m,2D,3.3,3.1,1.0
00:01:47.000,33.923198 S,18.449175833333335 E,1570.2 m,2D,3.3,3.1,1.0
00:01:48.000,33.92312416666667 S,18.449507 E,1605.0 m,2D,3.3,3.1,1.0
00:01:49.000,33.923049166666665 S,18.449845333333332 E,1639.7 m,2D,3.3,3.1,1.0
00:01:50.000,33.92297716666667 S,18.4501755 E,1674.5 m,2D,3.3,3.1,1.0
00:01:51.000,33.92290466666667 S,18.45050566666667 E,1709.2 m,2D,3.3,3.1,1.0
00:01:52.000,33.9228325 S,18.450838166666667 E,1744.0 m,2D,3.3,3.1,1.0
00:01:53.000,33.922758 S,18.451171833333333 E,1778.7 m,2D,3.3,3.1,1.0
00:01:54.000,33.922686 S,18.451506833333333 E,1813.5 m,3D,4.3,2.5,3.5
00:01:55.000,33.922612666666666 S,18.45183816666667 E,1848.2 m,2D,3.3,3.1,1.0
00:01:56.000,33.9225405 S,18.452170666666667 E,1883.0 m,2D,3.3,3.1,1.0
00:01:57.000,33.922468 S,18.452500833333332 E,1917.7 m,2D,3.3,3.1,1.0
00:01:58.000,33.922393166666666 S,18.452840333333334 E,1952.4 m,2D,3.3,3.1,1.0
00:01:59.000,33.92232083333333 S,18.453171166666667 E,1987.2 m,2D,3.3,3.1,1.0
00:02:00.000,33.92224566666667 S,18.453505833333335 E,2021.9 m,2D,3.3,3.1,1.0
00:02:01.000,33.9221705 S,18.453845333333334 E,2056.7 m,2D,3.3,3.1,1.0
00:02:02.000,33.9220955 S,18.454181166666668 E,2091.4 m,2D,3.3,3.1,1.0
00:02:03.000,33.922021 S,18.4545175 E,2126.2 m,2D,3.3,3.1,1.0
00:02:04.000,33.92194716666667 S,18.454853666666665 E,2160.9 m,2D,3.3,3.1,1.0
00:02:05.000,33.92187066666666 S,18.4551925 E,2195.7 m,2D,3.3,3.1,1.0
00:02:06.000,33.9217965 S,18.4555205 E,2230.4 m,2D,3.3,3.1,1.0
00:02:07.000,33.921721166666664 S,18.455855833333334 E,2265.2 m,2D,3.3,3.1,1.0
00:02:08.000,33.9216465 S,18.456193833333334 E,2299.9 m,2D,3.3,3.1,1.0
00:02:09.000,33.92157233333333 S,18.45652966666667 E,2334.7 m,2D,3.3,3.1,1.0
00:02:10.000,33.9214975 S,18.4568675 E,2369.4 m,2D,3.3,3.1,1.0
00:02:11.000,33.921421333333335 S,18.457206666666668 E,2404.2 m,2D,3.3,3.1,1.0
00:02:12.000,33.92134466666667 S,18.457544166666665 E,2438.9 m,2D,3.3,3.1,1.0
00:02:13.000,33.92126833333333 S,18.457882166666668 E,2473.7 m,2D,3.3,3.1,1.0
00:02:14.000,33.92119533333333 S,18.4582155 E,2508.4 m,3D,6.7,3.5,5.8
00:02:15.000,33.921118166666666 S,18.458556666666667 E,2543.2 m,2D,3.3,3.1,1.0
00:02:16.000,33.921042666666665 S,18.458893333333332 E,2577.9 m,2D,3.3,3.1,1.0
00:02:17.000,33.920968333333334 S,18.459225166666666 E,2612.7 m,2D,3.3,3.1,1.0
00:02:18.000,33.920891 S,18.459567833333335 E,2647.4 m,2D,3.3,3.1,1.0
00:02:19.000,33.9208155 S,18.459907833333332 E,2682.2 m,2D,3.3,3.1,1.0
00:02:20.000,33.920739166666664 S,18.460249333333334 E,2716.9 m,2D,3.3,3.1,1.0
00:02:21.000,33.920661 S,18.460596 E,2751.7 m,2D,3.3,3.1,1.0
00:02:22.000,33.920585333333335 S,18.460930666666666 E,2786.4 m,2D,3.3,3.1,1.0
00:02:23.000,33.92050966666667 S,18.461266333333334 E,2821.2 m,2D,3.3,3.1,1.0
00:02:24.000,33.92043483333333 S,18.461601166666668 E,2855.9 m,2D,3.3,3.1,1.0
00:02:25.000,33.920358 S,18.461944333333335 E,2890.7 m,2D,3.3,3.1,1.0
00:02:26.000,33.92028 S,18.462289166666668 E,2925.4 m,2D,3.3,3.1,1.0
00:02:27.000,33.920202833333335 S,18.462633833333335 E,2960.2 m,2D,3.3,3.1,1.0
00:02:28.000,33.92012366666667 S,18.4629815 E,2994.9 m,2D,3.3,3.1,1.0
00:02:29.000,33.920048666666666 S,18.463315 E,3029.7 m,2D,3.3,3.1,1.0
00:02:30.000,33.91997216666667 S,18.463655666666668 E,3064.4 m,2D,3.3,3.1,1.0
00:02:31.000,33.91989366666667 S,18.463996666666667 E,3099.2 m,2D,3.3,3.1,1.0
00:02:32.000,33.919815666666665 S,18.464339333333335 E,3133.9 m,2D,3.3,3.1,1.0
00:02:33.000,33.919736666666665 S,18.464687666666666 E,3168.7 m,2D,3.3,3.1,1.0
00:02:34.000,33.919657666666666 S,18.465032666666666 E,3203.4 m,2D,3.3,3.1,1.0
00:02:35.000,33.919579166666665 S,18.465378 E,3238.2 m,2D,3.3,3.1,1.0
00:02:36.000,33.9195 S,18.465724666666667 E,3272.9 m,2D,3.3,3.1,1.0
00:02:37.000,33.9194235 S,18.466069666666666 E,3307.7 m,2D,3.3,3.1,1.0
00:02:38.000,33.9193445 S,18.466417166666666 E,3342.5 m,2D,3.3,3.2,1.0
00:02:39.000,33.919266 S,18.466763333333333 E,3377.2 m,2D,3.3,3.2,1.0
00:02:40.000,33.91918666666667 S,18.467108333333332 E,3412.0 m,2D,3.3,3.2,1.0
00:02:41.000,33.919106166666666 S,18.467457333333332 E,3446.7 m,2D,3.3,3.2,1.0
00:02:42.000,33.91902866666667 S,18.467801333333334 E,3481.5 m,2D,3.2,3.0,1.0
00:02:43.000,33.91894933333333 S,18.468148 E,3516.2 m,2D,3.3,3.2,1.0
00:02:44.000,33.918869666666666 S,18.4684995 E,3551.0 m,2D,3.3,3.2,1.0
00:02:45.000,33.91879183333333 S,18.468842666666667 E,3585.7 m,2D,3.3,3.2,1.0
00:02:46.000,33.91871233333333 S,18.469189166666666 E,3620.5 m,2D,3.3,3.2,1.0
00:02:47.000,33.91863516666667 S,18.469533166666668 E,3655.2 m,2D,3.3,3.2,1.0
00:02:48.000,33.91855483333333 S,18.469886333333335 E,3690.0 m,2D,3.3,3.2,1.0
00:02:49.000,33.91847583333333 S,18.470231166666668 E,3724.7 m,2D,3.3,3.2,1.0
00:02:50.000,33.918396333333334 S,18.4705795 E,3759.5 m,2D,3.3,3.2,1.0
00:02:51.000,33.91831766666667 S,18.470926666666667 E,3794.3 m,2D,3.3,3.2,1.0
00:02:52.000,33.9182395 S,18.4712685 E,3829.0 m,2D,3.3,3.2,1.0
00:02:53.000,33.91815966666667 S,18.471620833333333 E,3863.8 m,3D,4.3,2.5,3.5
00:02:54.000,33.91807633333333 S,18.471978666666665 E,3898.5 m,2D,3.3,3.2,1.0
00:02:55.000,33.91799616666667 S,18.472327833333335 E,3933.3 m,2D,3.3,3.2,1.0
00:02:56.000,33.9179165 S,18.472675166666665 E,3968.0 m,2D,3.3,3.2,1.0
00:02:57.000,33.9178355 S,18.473026166666667 E,4002.8 m,2D,3.3,3.2,1.0
00:02:58.000,33.917755 S,18.4733745 E,4037.6 m,2D,3.3,3.2,1.0
00:02:59.000,33.9176745 S,18.473726666666668 E,4072.3 m,2D,3.3,3.2,1.0
00:03:00.000,33.91759283333333 S,18.4740805 E,4107.1 m,2D,3.3,3.2,1.0
