UTC Time,Latitude,Longitude,Altitude,Fix type,PDOP,HDOP,VDOP
00:01:09.000,30.286875666666667 N,120.03184366666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:10.000,30.2868755 N,120.031844 E,0.0 m,2D,5.0,4.9,1.0
00:01:11.000,30.286875333333334 N,120.03184416666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:12.000,30.286875333333334 N,120.0318445 E,0.0 m,2D,5.0,4.9,1.0
00:01:13.000,30.28687516666667 N,120.03184466666667 E,0.0 m,3D,3.9,3.1,2.4
00:01:14.000,30.286875 N,120.031845 E,0.0 m,2D,5.0,4.9,1.0
00:01:15.000,30.286874833333332 N,120.03184516666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:16.000,30.286874666666666 N,120.03184533333334 E,0.0 m,2D,5.0,4.9,1.0
00:01:17.000,30.286874666666666 N,120.03184566666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:18.000,30.2868745 N,120.03184583333334 E,0.0 m,2D,5.0,4.9,1.0
00:01:19.000,30.286874333333333 N,120.031846 E,0.0 m,2D,5.0,4.9,1.0
00:01:20.000,30.286874333333333 N,120.03184616666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:21.000,30.286874166666667 N,120.03184633333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:22.000,30.286874166666667 N,120.0318465 E,0.0 m,2D,5.0,4.9,1.0
00:01:23.000,30.286874 N,120.0318465 E,0.0 m,2D,5.0,4.9,1.0
00:01:24.000,30.286874 N,120.03184666666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:25.000,30.286873833333335 N,120.03184683333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:26.000,30.286873833333335 N,120.031847 E,0.0 m,2D,5.0,4.9,1.0
00:01:27.000,30.286873666666665 N,120.031847 E,0.0 m,2D,5.0,4.9,1.0
00:01:28.000,30.286873666666665 N,120.03184716666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:29.000,30.2868735 N,120.03184733333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:30.000,30.2868735 N,120.03184733333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:31.000,30.286873333333332 N,120.0318475 E,0.0 m,3D,3.9,3.1,2.4
00:01:32.000,30.286873333333332 N,120.03184766666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:33.000,30.286873166666666 N,120.03184783333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:34.000,30.286873166666666 N,120.03184783333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:35.000,30.286873 N,120.031848 E,0.0 m,2D,5.0,4.9,1.0
00:01:36.000,30.286873 N,120.031848 E,0.0 m,2D,5.0,4.9,1.0
00:01:37.000,30.286872833333334 N,120.03184816666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:38.000,30.286872833333334 N,120.03184833333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:39.000,30.286872833333334 N,120.03184833333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:40.000,30.286872666666667 N,120.0318485 E,0.0 m,2D,5.0,4.9,1.0
00:01:41.000,30.286872666666667 N,120.0318485 E,0.0 m,2D,5.0,4.9,1.0
00:01:42.000,30.286872666666667 N,120.03184866666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:43.000,30.2868725 N,120.03184866666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:44.000,30.2868725 N,120.03184866666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:45.000,30.2868725 N,120.03184883333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:46.000,30.286872333333335 N,120.03184883333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:47.000,30.286872333333335 N,120.031849 E,0.0 m,2D,5.0,4.9,1.0
00:01:48.000,30.286872166666665 N,120.031849 E,0.0 m,2D,5.0,4.9,1.0
00:01:49.000,30.286872166666665 N,120.03184916666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:50.000,30.286872166666665 N,120.03184916666666 E,0.0 m,2D,5.0,4.9,1.0
00:01:51.000,30.286872 N,120.03184933333333 E,0.0 m,2D,5.0,4.9,1.0
00:01:52.000,30.286872 N,120.03184933333333 E,0.0 m,2D,4.8,4.7,1.0
00:01:53.000,30.286872 N,120.0318495 E,0.0 m,2D,5.0,4.9,1.0
00:01:54.000,30.286871833333333 N,120.0318495 E,0.0 m,2D,5.0,4.9,1.0
00:01:55.000,30.286871833333333 N,120.03184966666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:56.000,30.286871833333333 N,120.03184966666667 E,0.0 m,2D,5.0,4.9,1.0
00:01:57.000,30.286871666666666 N,120.03184983333334 E,0.0 m,2D,5.0,4.8,1.0
00:01:58.000,30.286871666666666 N,120.03185 E,0.0 m,2D,5.0,4.8,1.0
00:01:59.000,30.286871666666666 N,120.03185 E,0.0 m,2D,5.0,4.8,1.0
00:02:00.000,30.2868715 N,120.03185016666667 E,0.0 m,2D,5.0,4.8,1.0
00:02:01.000,30.2868715 N,120.03185016666667 E,0.0 m,2D,5.0,4.8,1.0
00:02:02.000,30.2868715 N,120.03185033333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:03.000,30.2868715 N,120.03185033333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:04.000,30.286871333333334 N,120.03185033333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:05.000,30.286871333333334 N,120.0318505 E,0.0 m,2D,4.9,4.8,1.0
00:02:06.000,30.286871333333334 N,120.0318505 E,0.0 m,2D,4.9,4.8,1.0
00:02:07.000,30.286871333333334 N,120.03185066666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:08.000,30.286871166666668 N,120.03185066666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:09.000,30.286871166666668 N,120.03185066666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:10.000,30.286871166666668 N,120.03185083333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:11.000,30.286871166666668 N,120.03185083333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:12.000,30.286871 N,120.031851 E,0.0 m,2D,4.9,4.8,1.0
00:02:13.000,30.286871 N,120.031851 E,0.0 m,2D,4.9,4.8,1.0
00:02:14.000,30.286871 N,120.031851 E,0.0 m,2D,4.9,4.8,1.0
00:02:15.000,30.286871 N,120.03185116666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:16.000,30.28687083333333 N,120.03185116666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:17.000,30.28687083333333 N,120.03185116666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:18.000,30.28687083333333 N,120.03185133333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:19.000,30.28687083333333 N,120.03185133333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:20.000,30.286870666666665 N,120.03185133333334 E,0.0 m,2D,4.9,4.8,1.0
00:02:21.000,30.286870666666665 N,120.0318515 E,0.0 m,2D,4.9,4.8,1.0
00:02:22.000,30.286870666666665 N,120.0318515 E,0.0 m,2D,4.9,4.8,1.0
00:02:23.000,30.286870666666665 N,120.0318515 E,0.0 m,2D,4.9,4.8,1.0
00:02:24.000,30.2868705 N,120.03185166666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:25.000,30.2868705 N,120.03185166666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:26.000,30.2868705 N,120.03185166666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:27.000,30.2868705 N,120.03185183333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:28.000,30.286870333333333 N,120.03185183333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:29.000,30.286870333333333 N,120.03185183333333 E,0.0 m,3D,13.2,11.6,6.3
00:02:30.000,30.286870333333333 N,120.031852 E,0.0 m,2D,4.9,4.8,1.0
00:02:31.000,30.286870333333333 N,120.031852 E,0.0 m,2D,4.9,4.8,1.0
00:02:32.000,30.286870333333333 N,120.031852 E,0.0 m,2D,4.9,4.8,1.0
00:02:33.000,30.286870166666667 N,120.031852 E,0.0 m,2D,4.9,4.8,1.0
00:02:34.000,30.286870166666667 N,120.031852 E,0.0 m,2D,4.9,4.8,1.0
00:02:35.000,30.286870166666667 N,120.03185216666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:36.000,30.286870166666667 N,120.03185216666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:37.000,30.28687 N,120.03185216666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:38.000,30.28687 N,120.03185216666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:39.000,30.28687 N,120.03185233333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:40.000,30.28687 N,120.03185233333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:41.000,30.286869833333334 N,120.03185233333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:42.000,30.286869833333334 N,120.03185233333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:43.000,30.286869833333334 N,120.0318525 E,0.0 m,2D,4.9,4.8,1.0
00:02:44.000,30.286869833333334 N,120.0318525 E,0.0 m,2D,4.9,4.8,1.0
00:02:45.000,30.286869833333334 N,120.0318525 E,0.0 m,2D,4.9,4.8,1.0
00:02:46.000,30.286869666666668 N,120.0318525 E,0.0 m,2D,4.9,4.8,1.0
00:02:47.000,30.286869666666668 N,120.03185266666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:48.000,30.286869666666668 N,120.03185266666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:49.000,30.286869666666668 N,120.03185266666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:50.000,30.2868695 N,120.03185266666667 E,0.0 m,2D,4.9,4.8,1.0
00:02:51.000,30.2868695 N,120.03185283333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:52.000,30.2868695 N,120.03185283333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:53.000,30.2868695 N,120.03185283333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:54.000,30.2868695 N,120.03185283333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:55.000,30.286869333333332 N,120.03185283333333 E,0.0 m,2D,4.9,4.8,1.0
00:02:56.000,30.286869333333332 N,120.031853 E,0.0 m,2D,4.9,4.8,1.0
00:02:57.000,30.286869333333332 N,120.031853 E,0.0 m,2D,4.9,4.8,1.0
00:02:58.000,30.286869333333332 N,120.031853 E,0.0 m,2D,4.9,4.8,1.0
00:02:59.000,30.286869166666666 N,120.031853 E,0.0 m,2D,4.9,4.8,1.0
00:03:00.000,30.286869166666666 N,120.031853 E,0.0 m,2D,4.9,4.8,1.0
00:03:01.000,30.286869166666666 N,120.03185316666666 E,0.0 m,2D,4.9,4.8,1.0
