UTC Time,Latitude,Longitude,Altitude,Fix type,PDOP,HDOP,VDOP
00:00:33.000,40.781346 N,73.96628083333333 W,461.4 m,2D,3.1,2.9,1.0
00:00:34.000,40.78133533333333 N,73.96622933333333 W,506.7 m,2D,3.1,2.9,1.0
00:00:35.000,40.781325833333334 N,73.9661775 W,552.1 m,2D,3.1,2.9,1.0
00:00:36.000,40.78131333333333 N,73.9661245 W,597.4 m,2D,3.1,2.9,1.0
00:00:37.000,40.781302 N,73.966073 W,642.7 m,2D,3.1,2.9,1.0
00:00:38.000,40.781291 N,73.96602183333333 W,688.1 m,2D,3.1,2.9,1.0
00:00:39.000,40.781281166666666 N,73.96597133333333 W,733.4 m,2D,3.1,2.9,1.0
00:00:40.000,40.78127033333333 N,73.96591816666667 W,778.8 m,2D,3.1,2.9,1.0
00:00:41.000,40.781258666666666 N,73.965866 W,824.1 m,2D,3.1,2.9,1.0
00:00:42.000,40.7812475 N,73.96581533333334 W,869.4 m,2D,3.1,2.9,1.0
00:00:43.000,40.7812355 N,73.96576533333334 W,914.8 m,2D,3.1,2.9,1.0
00:00:44.000,40.78122483333333 N,73.96571233333333 W,960.1 m,2D,3.1,2.9,1.0
00:00:45.000,40.78121316666667 N,73.965662 W,1005.5 m,2D,3.1,2.9,1.0
00:00:46.000,40.781201333333335 N,73.96561183333333 W,1050.8 m,2D,3.1,2.9,1.0
00:00:47.000,40.781189166666664 N,73.96556133333333 W,1096.1 m,2D,3.1,2.9,1.0
00:00:48.000,40.7811775 N,73.96551 W,1141.5 m,2D,3.1,2.9,1.0
00:00:49.000,40.781165333333334 N,73.96545966666666 W,1186.8 m,2D,3.1,2.9,1.0
00:00:50.000,40.78115283333333 N,73.96540833333333 W,1232.2 m,2D,3.1,2.9,1.0
00:00:51.000,40.78113966666667 N,73.965358 W,1277.5 m,2D,3.1,2.9,1.0
00:00:52.000,40.78112683333333 N,73.965307 W,1322.8 m,2D,3.1,2.9,1.0
00:00:53.000,40.781113833333336 N,73.96525833333334 W,1368.2 m,2D,3.1,2.9,1.0
00:00:54.000,40.781100333333335 N,73.96521033333333 W,1413.5 m,2D,3.1,2.9,1.0
00:00:55.000,40.78108783333333 N,73.965159 W,1458.9 m,2D,3.1,2.9,1.0
00:00:56.000,40.781074 N,73.96510883333333 W,1504.2 m,2D,3.1,2.9,1.0
00:00:57.000,40.781059666666664 N,73.965061 W,1549.5 m,2D,3.1,2.9,1.0
00:00:58.000,40.781044666666666 N,73.96501233333333 W,1594.9 m,2D,3.1,2.9,1.0
00:00:59.000,40.781031666666664 N,73.96496166666667 W,1640.2 m,2D,2.8,2.7,1.0
00:01:00.000,40.78101916666667 N,73.964911 W,1685.6 m,2D,3.1,2.9,1.0
00:01:01.000,40.78100633333333 N,73.96486066666667 W,1730.9 m,2D,3.1,2.9,1.0
