UTC Time,Latitude,Longitude,Altitude,Fix type,PDOP,HDOP,VDOP
00:01:27.000,35.27500283333333 N,137.0122685 E,0.0 m,3D,12.4,9.5,7.9
00:01:28.000,35.27496166666667 N,137.0122 E,0.0 m,3D,12.4,9.5,7.9
00:01:29.000,35.274918166666666 N,137.01213316666667 E,0.0 m,3D,12.4,9.5,7.9
00:01:30.000,35.27487216666667 N,137.01206866666666 E,0.0 m,3D,12.4,9.5,8.0
00:01:31.000,35.274802 N,137.012028 E,0.0 m,3D,12.4,9.5,8.0
00:01:32.000,35.274725333333336 N,137.01200216666666 E,0.0 m,3D,12.4,9.5,8.0
00:01:33.000,35.27464483333333 N,137.01198766666667 E,0.0 m,3D,12.4,9.5,8.0
00:01:34.000,35.2745615 N,137.01198333333335 E,0.0 m,3D,12.4,9.5,8.0
00:01:35.000,35.27447633333333 N,137.01198866666667 E,0.0 m,3D,12.4,9.5,8.0
00:01:36.000,35.27438983333333 N,137.012003 E,0.0 m,3D,12.4,9.5,8.0
00:01:37.000,35.27430316666667 N,137.01202616666666 E,0.0 m,3D,12.4,9.5,8.0
00:01:38.000,35.274217 N,137.01205733333333 E,0.0 m,3D,12.4,9.5,8.0
00:01:39.000,35.27413166666667 N,137.0120965 E,0.0 m,3D,12.4,9.5,8.0
00:01:40.000,35.27404816666667 N,137.01214333333334 E,0.0 m,3D,12.5,9.5,8.0
00:01:41.000,35.27396666666667 N,137.01219783333335 E,0.0 m,3D,12.4,9.5,8.0
00:01:42.000,35.27388783333333 N,137.01225933333333 E,0.0 m,3D,12.5,9.6,8.0
00:01:43.000,35.273812166666666 N,137.01232783333333 E,0.0 m,3D,12.5,9.6,8.0
00:01:44.000,35.27374016666667 N,137.01240283333334 E,0.0 m,3D,12.5,9.6,8.0
00:01:45.000,35.273672166666664 N,137.01248366666667 E,1.3 m,3D,12.5,9.6,8.0
00:01:46.000,35.2736085 N,137.01257033333334 E,2.7 m,3D,12.5,9.6,8.0
00:01:47.000,35.27354966666667 N,137.012662 E,4.1 m,3D,12.5,9.6,8.0
00:01:48.000,35.273495833333335 N,137.0127585 E,5.5 m,3D,12.5,9.6,8.0
00:01:49.000,35.27344766666667 N,137.01285883333333 E,6.9 m,3D,12.5,9.6,8.0
00:01:50.000,35.273405 N,137.01296266666665 E,8.3 m,3D,12.5,9.6,8.0
00:01:51.000,35.2733685 N,137.01306933333333 E,9.7 m,3D,12.5,9.6,8.0
00:01:52.000,35.27333816666667 N,137.01317816666668 E,11.0 m,3D,12.5,9.6,8.0
00:01:53.000,35.273314 N,137.0132885 E,12.4 m,3D,12.5,9.6,8.0
00:01:54.000,35.273296333333334 N,137.01339983333332 E,13.8 m,3D,12.5,9.6,8.1
00:01:55.000,35.273285 N,137.01351133333333 E,15.1 m,3D,12.5,9.6,8.1
00:01:56.000,35.27327966666667 N,137.01362316666666 E,16.5 m,3D,12.5,9.6,8.1
00:01:57.000,35.27328083333333 N,137.013734 E,17.9 m,3D,12.5,9.6,8.1
00:01:58.000,35.27328833333333 N,137.01384316666667 E,19.3 m,3D,12.5,9.6,8.1
00:01:59.000,35.273302 N,137.01394983333333 E,20.6 m,3D,12.5,9.6,8.1
00:02:00.000,35.27332166666667 N,137.0140535 E,22.0 m,3D,12.5,9.6,8.1
00:02:01.000,35.273347333333334 N,137.01415383333332 E,23.3 m,3D,12.6,9.6,8.1
00:02:02.000,35.27337833333333 N,137.01425 E,24.6 m,3D,12.5,9.5,8.1
00:02:03.000,35.27341466666667 N,137.0143415 E,25.9 m,3D,12.6,9.6,8.1
00:02:04.000,35.273456 N,137.01442766666668 E,27.2 m,3D,12.6,9.6,8.1
00:02:05.000,35.273502 N,137.014508 E,28.4 m,3D,12.6,9.6,8.1
00:02:06.000,35.273552333333335 N,137.01458216666666 E,29.7 m,3D,12.6,9.6,8.1
00:02:07.000,35.273606666666666 N,137.01464933333332 E,30.9 m,3D,12.6,9.6,8.1
